Entity,Category,System,Suggested_Query,Recommended_Filters,Red_Flag_Terms,Next_Step
University of Washington Applied Physics Laboratory (UW APL),UARC,USAspending (Award → Mod History),"Awardee = ""University of Washington Applied Physics Laboratory (UW APL)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Washington Applied Physics Laboratory (UW APL),UARC,FPDS (legacy ezSearch),"""University of Washington Applied Physics Laboratory (UW APL)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Washington Applied Physics Laboratory (UW APL),UARC,GAO Bid Protests,"""University of Washington Applied Physics Laboratory (UW APL)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Washington Applied Physics Laboratory (UW APL),UARC,SEC EDGAR (8-K/10-K/Exhibits),"""University of Washington Applied Physics Laboratory (UW APL)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Washington Applied Physics Laboratory (UW APL),UARC,Delaware SOS (Entity Search),"""University of Washington Applied Physics Laboratory (UW APL)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Washington Applied Physics Laboratory (UW APL),UARC,IRS 990 (if applicable),"""University of Washington Applied Physics Laboratory (UW APL)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Washington Applied Physics Laboratory (UW APL),UARC,Jobs Telemetry,"""University of Washington Applied Physics Laboratory (UW APL)"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Washington Applied Physics Laboratory (UW APL),UARC,Regents/Trustees Agendas,"""University of Washington Applied Physics Laboratory (UW APL)"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,lab reno; shielding; classified areas,Match agenda/permit dates to award mods
University of Washington Applied Physics Laboratory (UW APL),UARC,City/County Permits,"""University of Washington Applied Physics Laboratory (UW APL)"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF; radiation areas; special doors,Match agenda/permit dates to award mods
University of Hawaii Applied Research Laboratory (UH APL),UARC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""University of Hawaii Applied Research Laboratory (UH APL)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Hawaii Applied Research Laboratory (UH APL),UARC,USAspending (Award → Mod History),"Awardee = ""University of Hawaii Applied Research Laboratory (UH APL)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Hawaii Applied Research Laboratory (UH APL),UARC,FPDS (legacy ezSearch),"""University of Hawaii Applied Research Laboratory (UH APL)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Hawaii Applied Research Laboratory (UH APL),UARC,GAO Bid Protests,"""University of Hawaii Applied Research Laboratory (UH APL)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Hawaii Applied Research Laboratory (UH APL),UARC,SEC EDGAR (8-K/10-K/Exhibits),"""University of Hawaii Applied Research Laboratory (UH APL)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Hawaii Applied Research Laboratory (UH APL),UARC,Delaware SOS (Entity Search),"""University of Hawaii Applied Research Laboratory (UH APL)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Hawaii Applied Research Laboratory (UH APL),UARC,IRS 990 (if applicable),"""University of Hawaii Applied Research Laboratory (UH APL)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Hawaii Applied Research Laboratory (UH APL),UARC,Jobs Telemetry,"""University of Hawaii Applied Research Laboratory (UH APL)"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Hawaii Applied Research Laboratory (UH APL),UARC,Regents/Trustees Agendas,"""University of Hawaii Applied Research Laboratory (UH APL)"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,lab reno; shielding; classified areas,Match agenda/permit dates to award mods
University of Hawaii Applied Research Laboratory (UH APL),UARC,City/County Permits,"""University of Hawaii Applied Research Laboratory (UH APL)"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF; radiation areas; special doors,Match agenda/permit dates to award mods
University of California UARC (NASA Ames),UARC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""University of California UARC (NASA Ames)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of California UARC (NASA Ames),UARC,USAspending (Award → Mod History),"Awardee = ""University of California UARC (NASA Ames)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of California UARC (NASA Ames),UARC,FPDS (legacy ezSearch),"""University of California UARC (NASA Ames)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of California UARC (NASA Ames),UARC,GAO Bid Protests,"""University of California UARC (NASA Ames)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of California UARC (NASA Ames),UARC,SEC EDGAR (8-K/10-K/Exhibits),"""University of California UARC (NASA Ames)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of California UARC (NASA Ames),UARC,Delaware SOS (Entity Search),"""University of California UARC (NASA Ames)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of California UARC (NASA Ames),UARC,IRS 990 (if applicable),"""University of California UARC (NASA Ames)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of California UARC (NASA Ames),UARC,Jobs Telemetry,"""University of California UARC (NASA Ames)"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of California UARC (NASA Ames),UARC,Regents/Trustees Agendas,"""University of California UARC (NASA Ames)"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,lab reno; shielding; classified areas,Match agenda/permit dates to award mods
University of California UARC (NASA Ames),UARC,City/County Permits,"""University of California UARC (NASA Ames)"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF; radiation areas; special doors,Match agenda/permit dates to award mods
University of Maryland ARLIS (Applied Research Lab for Intelligence & Security),UARC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""University of Maryland ARLIS (Applied Research Lab for Intelligence & Security)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Maryland ARLIS (Applied Research Lab for Intelligence & Security),UARC,USAspending (Award → Mod History),"Awardee = ""University of Maryland ARLIS (Applied Research Lab for Intelligence & Security)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Maryland ARLIS (Applied Research Lab for Intelligence & Security),UARC,FPDS (legacy ezSearch),"""University of Maryland ARLIS (Applied Research Lab for Intelligence & Security)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Maryland ARLIS (Applied Research Lab for Intelligence & Security),UARC,GAO Bid Protests,"""University of Maryland ARLIS (Applied Research Lab for Intelligence & Security)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Maryland ARLIS (Applied Research Lab for Intelligence & Security),UARC,SEC EDGAR (8-K/10-K/Exhibits),"""University of Maryland ARLIS (Applied Research Lab for Intelligence & Security)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Maryland ARLIS (Applied Research Lab for Intelligence & Security),UARC,Delaware SOS (Entity Search),"""University of Maryland ARLIS (Applied Research Lab for Intelligence & Security)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Maryland ARLIS (Applied Research Lab for Intelligence & Security),UARC,IRS 990 (if applicable),"""University of Maryland ARLIS (Applied Research Lab for Intelligence & Security)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Maryland ARLIS (Applied Research Lab for Intelligence & Security),UARC,Jobs Telemetry,"""University of Maryland ARLIS (Applied Research Lab for Intelligence & Security)"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
University of Maryland ARLIS (Applied Research Lab for Intelligence & Security),UARC,Regents/Trustees Agendas,"""University of Maryland ARLIS (Applied Research Lab for Intelligence & Security)"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,lab reno; shielding; classified areas,Match agenda/permit dates to award mods
University of Maryland ARLIS (Applied Research Lab for Intelligence & Security),UARC,City/County Permits,"""University of Maryland ARLIS (Applied Research Lab for Intelligence & Security)"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF; radiation areas; special doors,Match agenda/permit dates to award mods
Lockheed Martin (Skunk Works),Prime/Integrator,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Lockheed Martin (Skunk Works)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lockheed Martin (Skunk Works),Prime/Integrator,USAspending (Award → Mod History),"Awardee = ""Lockheed Martin (Skunk Works)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lockheed Martin (Skunk Works),Prime/Integrator,FPDS (legacy ezSearch),"""Lockheed Martin (Skunk Works)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lockheed Martin (Skunk Works),Prime/Integrator,GAO Bid Protests,"""Lockheed Martin (Skunk Works)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lockheed Martin (Skunk Works),Prime/Integrator,SEC EDGAR (8-K/10-K/Exhibits),"""Lockheed Martin (Skunk Works)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lockheed Martin (Skunk Works),Prime/Integrator,Delaware SOS (Entity Search),"""Lockheed Martin (Skunk Works)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lockheed Martin (Skunk Works),Prime/Integrator,IRS 990 (if applicable),"""Lockheed Martin (Skunk Works)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Lockheed Martin (Skunk Works),Prime/Integrator,Jobs Telemetry,"""Lockheed Martin (Skunk Works)"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Northrop Grumman,Prime/Integrator,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Northrop Grumman""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Northrop Grumman,Prime/Integrator,USAspending (Award → Mod History),"Awardee = ""Northrop Grumman"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Northrop Grumman,Prime/Integrator,FPDS (legacy ezSearch),"""Northrop Grumman"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Northrop Grumman,Prime/Integrator,GAO Bid Protests,"""Northrop Grumman"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Northrop Grumman,Prime/Integrator,SEC EDGAR (8-K/10-K/Exhibits),"""Northrop Grumman"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Northrop Grumman,Prime/Integrator,Delaware SOS (Entity Search),"""Northrop Grumman""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Northrop Grumman,Prime/Integrator,IRS 990 (if applicable),"""Northrop Grumman"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Northrop Grumman,Prime/Integrator,Jobs Telemetry,"""Northrop Grumman"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Boeing (Phantom Works),Prime/Integrator,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Boeing (Phantom Works)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Boeing (Phantom Works),Prime/Integrator,USAspending (Award → Mod History),"Awardee = ""Boeing (Phantom Works)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Boeing (Phantom Works),Prime/Integrator,FPDS (legacy ezSearch),"""Boeing (Phantom Works)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Boeing (Phantom Works),Prime/Integrator,GAO Bid Protests,"""Boeing (Phantom Works)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Boeing (Phantom Works),Prime/Integrator,SEC EDGAR (8-K/10-K/Exhibits),"""Boeing (Phantom Works)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Boeing (Phantom Works),Prime/Integrator,Delaware SOS (Entity Search),"""Boeing (Phantom Works)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Boeing (Phantom Works),Prime/Integrator,IRS 990 (if applicable),"""Boeing (Phantom Works)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Boeing (Phantom Works),Prime/Integrator,Jobs Telemetry,"""Boeing (Phantom Works)"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Raytheon (RTX),Prime/Integrator,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Raytheon (RTX)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Raytheon (RTX),Prime/Integrator,USAspending (Award → Mod History),"Awardee = ""Raytheon (RTX)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Raytheon (RTX),Prime/Integrator,FPDS (legacy ezSearch),"""Raytheon (RTX)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Raytheon (RTX),Prime/Integrator,GAO Bid Protests,"""Raytheon (RTX)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Raytheon (RTX),Prime/Integrator,SEC EDGAR (8-K/10-K/Exhibits),"""Raytheon (RTX)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Raytheon (RTX),Prime/Integrator,Delaware SOS (Entity Search),"""Raytheon (RTX)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Raytheon (RTX),Prime/Integrator,IRS 990 (if applicable),"""Raytheon (RTX)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
